temporal_condition,excluded_local_date,province,metric,oriented_improvement
exclude_2026-06-21,2026-06-21,haiphong,heldout_recall_2km,0.1929805204172971
exclude_2026-06-21,2026-06-21,haiphong,heldout_temporal_demand_capture,0.08399394375409275
exclude_2026-06-21,2026-06-21,haiphong,mean_service_distance_km,1.092015474495492
exclude_2026-06-21,2026-06-21,haiphong,normalized_heldout_capture,0.6117601557390704
exclude_2026-06-21,2026-06-21,haiphong,p95_service_distance_km,4.09598802787221
exclude_2026-06-21,2026-06-21,haiphong,redundancy_jaccard,0.06364643237019746
exclude_2026-06-21,2026-06-21,haiphong,temporal_incremental_coverage,0.010239673578634192
exclude_2026-06-21,2026-06-21,haiphong,zone_gini,0.0146523848347071
exclude_2026-06-21,2026-06-21,haiphong,zone_jain,0.016080272781095712
exclude_2026-06-21,2026-06-21,hanoi,heldout_recall_2km,0.29050924201454925
exclude_2026-06-21,2026-06-21,hanoi,heldout_temporal_demand_capture,0.12155029065046373
exclude_2026-06-21,2026-06-21,hanoi,mean_service_distance_km,0.6511107145130898
exclude_2026-06-21,2026-06-21,hanoi,normalized_heldout_capture,0.5885954243142129
exclude_2026-06-21,2026-06-21,hanoi,p95_service_distance_km,5.191366984250629
exclude_2026-06-21,2026-06-21,hanoi,redundancy_jaccard,0.03484195409331601
exclude_2026-06-21,2026-06-21,hanoi,temporal_incremental_coverage,-0.07736455367334195
exclude_2026-06-21,2026-06-21,hanoi,zone_gini,0.04414307582366591
exclude_2026-06-21,2026-06-21,hanoi,zone_jain,0.04990572620130843
exclude_2026-06-21,2026-06-21,hochiminh,heldout_recall_2km,0.2433880165493707
exclude_2026-06-21,2026-06-21,hochiminh,heldout_temporal_demand_capture,0.1236717885070767
exclude_2026-06-21,2026-06-21,hochiminh,mean_service_distance_km,2.6552793442579476
exclude_2026-06-21,2026-06-21,hochiminh,normalized_heldout_capture,0.33469932922286655
exclude_2026-06-21,2026-06-21,hochiminh,p95_service_distance_km,6.855083717284991
exclude_2026-06-21,2026-06-21,hochiminh,redundancy_jaccard,0.002734932351947906
exclude_2026-06-21,2026-06-21,hochiminh,temporal_incremental_coverage,0.020912446346954366
exclude_2026-06-21,2026-06-21,hochiminh,zone_gini,0.03831636551267289
exclude_2026-06-21,2026-06-21,hochiminh,zone_jain,0.042938898245036695
