run_key,status,fold,province,block_id,service_radius,sigma_ratio,tau,candidate_count,poi_count,hidden_stations,budget_k,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,swaps,local_evaluations,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds
service|2|nghean|1|2.5|0.5|0.5,ok,2,nghean,1,2.5,0.5,0.5,46,370,12,3,3,0.23575341157483343,0.07797257697147363,0.04785890009062131,0.2200580215761621,0.8010353261902818,5.491838166039563,25.726638102103916,0.0,28.60124577224949,0.0,0.0,0.0,0.0,75.36370438214631,0.0,0.0,0.0,,,,52,3,0,0,True,True,True,True,True,True,True,True,28.60124577224949,5.632331209337755,0.003568058000155361
service|2|nghean|1|2.5|0.5|1.0,ok,2,nghean,1,2.5,0.5,1.0,46,370,12,3,3,0.14608012289988465,0.07797257697147363,0.04785890009062131,0.2200580215761621,0.8010353261902818,5.491838166039563,25.726638102103916,0.0,28.60124577224949,0.0,0.0,0.0,0.0,75.36370438214631,0.0,0.0,0.0,,,,50,3,0,0,True,True,True,True,True,True,True,True,28.60124577224949,5.632331209337755,0.00359427099988352
service|2|nghean|1|2.5|0.5|2.0,ok,2,nghean,1,2.5,0.5,2.0,46,370,12,3,3,0.08407123520523743,0.08667162891483493,0.04638788580300054,0.20992727073235856,0.8107299587664907,5.909308655298747,25.726638102103916,0.3055555555555555,0.6176296636726241,0.0,0.0,0.0,0.0,93.00946163513522,0.0,0.0,0.0,,,,49,3,0,0,True,True,True,True,True,True,True,True,0.6176296636726241,0.786827121612965,0.003317885999877035
service|2|nghean|1|2.5|0.75|0.5,ok,2,nghean,1,2.5,0.75,0.5,46,370,12,3,3,0.27935447488530385,0.0744106944483556,0.08205199658637057,0.22752836709350932,0.7936506356395949,5.658016937346804,25.726638102103916,0.0,3.213673682430478,0.0,0.0,0.0,0.0,76.01470708951936,0.0,0.0,0.0,,,,53,3,0,0,True,True,True,True,True,True,True,True,3.213673682430478,4.919744739852055,0.0036485590001120727
service|2|nghean|1|2.5|0.75|1.0,ok,2,nghean,1,2.5,0.75,1.0,46,370,12,3,3,0.17840418434007702,0.0744106944483556,0.08205199658637057,0.22752836709350932,0.7936506356395949,5.658016937346804,25.726638102103916,0.0,3.213673682430478,0.0,0.0,0.0,0.0,76.01470708951936,0.0,0.0,0.0,,,,54,3,0,0,True,True,True,True,True,True,True,True,3.213673682430478,4.919744739852055,0.003707760999986931
service|2|nghean|1|2.5|0.75|2.0,ok,2,nghean,1,2.5,0.75,2.0,46,370,12,3,3,0.10424832447573881,0.07118867767168327,0.08790540753927892,0.2210076954321153,0.7993020926193273,5.842723157069748,25.726638102103916,0.3055555555555555,0.6176296636726241,0.0,0.0,0.0,0.0,93.00946163513522,0.0,0.0,0.0,,,,53,3,0,0,True,True,True,True,True,True,True,True,0.6176296636726241,4.919744739852055,0.0037175739998929203
service|2|nghean|1|4.0|0.35|0.5,ok,2,nghean,1,4.0,0.35,0.5,46,370,12,3,3,0.2523473285338494,0.07797257697147363,0.04785890009062131,0.2200580215761621,0.8010353261902818,5.491838166039563,25.726638102103916,0.0,28.60124577224949,0.0,0.0,0.0,0.0,75.36370438214631,0.0,0.0,0.0,,,,53,3,0,0,True,True,True,True,True,True,True,True,28.60124577224949,5.632331209337755,0.003961817000117662
service|2|nghean|1|4.0|0.35|1.0,ok,2,nghean,1,4.0,0.35,1.0,46,370,12,3,3,0.157997545000384,0.07797257697147363,0.04785890009062131,0.2200580215761621,0.8010353261902818,5.491838166039563,25.726638102103916,0.0,28.60124577224949,0.0,0.0,0.0,0.0,75.36370438214631,0.0,0.0,0.0,,,,52,3,0,0,True,True,True,True,True,True,True,True,28.60124577224949,5.632331209337755,0.0037977510000928305
service|2|nghean|1|4.0|0.35|2.0,ok,2,nghean,1,4.0,0.35,2.0,46,370,12,3,3,0.08947421937729196,0.0749670429629429,0.05380054035213932,0.21361835726621997,0.8066592769857102,5.744993316123034,25.726638102103916,0.3055555555555555,0.6176296636726241,0.0,0.0,0.0,0.0,75.96666975460136,0.0,0.0,0.0,,,,51,3,0,0,True,True,True,True,True,True,True,True,0.6176296636726241,5.014785684710894,0.003681796999899234
service|2|nghean|1|4.0|0.5|0.5,ok,2,nghean,1,4.0,0.5,0.5,46,370,12,3,3,0.2940323264262128,0.07797257697147363,0.04785890009062131,0.2200580215761621,0.8010353261902818,5.491838166039563,25.726638102103916,0.0,28.60124577224949,0.0,0.0,0.0,0.0,75.36370438214631,0.0,0.0,0.0,,,,54,3,0,0,True,True,True,True,True,True,True,True,28.60124577224949,5.632331209337755,0.0038958480001838325
service|2|nghean|1|4.0|0.5|1.0,ok,2,nghean,1,4.0,0.5,1.0,46,370,12,3,3,0.1929105569222329,0.06397360248212675,0.05029812634390348,0.2152774855307696,0.8048285639803712,5.713025511962426,25.726638102103916,0.17543859649122806,1.547703890362654,0.0,0.0,0.0,0.0,76.01470708951936,0.0,0.0,0.0,,,,54,3,0,0,True,True,True,True,True,True,True,True,1.547703890362654,5.632331209337755,0.006524824999814882
service|2|nghean|1|4.0|0.5|2.0,ok,2,nghean,1,4.0,0.5,2.0,46,370,12,3,3,0.11467632237309286,0.059721295066256744,0.05498606253927762,0.2084998970951902,0.810648143142169,5.8977317316853695,25.726638102103916,0.6661793372319688,0.6176296636726241,0.0,0.0,0.0,0.0,93.00946163513522,0.0,0.0,0.0,,,,55,3,0,0,True,True,True,True,True,True,True,True,0.6176296636726241,5.014785684710894,0.003947118000041883
service|2|nghean|1|4.0|0.75|0.5,ok,2,nghean,1,4.0,0.75,0.5,46,370,12,3,3,0.3384885059501175,0.07797257697147363,0.04785890009062131,0.2200580215761621,0.8010353261902818,5.491838166039563,25.726638102103916,0.0,28.60124577224949,0.0,0.0,0.0,0.0,75.36370438214631,0.0,0.0,0.0,,,,54,3,0,0,True,True,True,True,True,True,True,True,28.60124577224949,5.632331209337755,0.0038644549999844457
