run_key,status,fold,province,block_id,local_passes,candidate_count,budget_k,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,swaps,local_evaluations,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds
local|2|caobang|0|0,ok,2,caobang,0,0,49,3,3,0.2031840698826229,0.21598229788214557,0.12651769459818873,0.07250209747325906,0.9331919344700139,14.800012343759573,52.24087625811898,0.2777777777777778,0.8665412882893483,0.01843359551577746,0.008157331924947811,0.1431793858428011,0.2,12.736049022299733,0.33562626617560204,0.3892247701446348,0.639117122248091,0.054922982416795926,0.020957895156355467,0.2240268346107962,60,3,0,0,True,True,True,True,True,True,True,True,0.8665412882893483,16.014446164580995,0.007352319000119678
local|2|caobang|0|1,ok,2,caobang,0,1,49,3,3,0.2031840698826229,0.21598229788214557,0.12651769459818873,0.07250209747325906,0.9331919344700139,14.800012343759573,52.24087625811898,0.2777777777777778,0.8665412882893483,0.01843359551577746,0.008157331924947811,0.1431793858428011,0.2,12.736049022299733,0.33562626617560204,0.3892247701446348,0.639117122248091,0.054922982416795926,0.020957895156355467,0.2240268346107962,60,3,0,138,True,True,True,True,True,True,True,True,0.8665412882893483,16.014446164580995,0.047327026999937516
local|2|caobang|0|3,ok,2,caobang,0,3,49,3,3,0.2031840698826229,0.21598229788214557,0.12651769459818873,0.07250209747325906,0.9331919344700139,14.800012343759573,52.24087625811898,0.2777777777777778,0.8665412882893483,0.01843359551577746,0.008157331924947811,0.1431793858428011,0.2,12.736049022299733,0.33562626617560204,0.3892247701446348,0.639117122248091,0.054922982416795926,0.020957895156355467,0.2240268346107962,60,3,0,138,True,True,True,True,True,True,True,True,0.8665412882893483,16.014446164580995,0.04666904999999133
local|2|caobang|1|0,ok,2,caobang,1,0,45,3,3,0.2510220155043117,0.19029379816026099,0.08571362968163213,0.15260280689747885,0.8593322433038868,4.227249613467251,27.04737960189897,0.2777777777777778,0.8665412882893483,0.0,0.0,0.0,0.0,40.95159589268225,0.0,0.0,0.0,,,,50,3,0,0,True,True,True,True,True,True,True,True,0.8665412882893483,20.673089973028084,0.006486782999900242
local|2|caobang|1|1,ok,2,caobang,1,1,45,3,3,0.2510220155043117,0.19029379816026099,0.08571362968163213,0.15260280689747885,0.8593322433038868,4.227249613467251,27.04737960189897,0.2777777777777778,0.8665412882893483,0.0,0.0,0.0,0.0,40.95159589268225,0.0,0.0,0.0,,,,50,3,0,126,True,True,True,True,True,True,True,True,0.8665412882893483,20.673089973028084,0.0351888580000832
local|2|caobang|1|3,ok,2,caobang,1,3,45,3,3,0.2510220155043117,0.19029379816026099,0.08571362968163213,0.15260280689747885,0.8593322433038868,4.227249613467251,27.04737960189897,0.2777777777777778,0.8665412882893483,0.0,0.0,0.0,0.0,40.95159589268225,0.0,0.0,0.0,,,,50,3,0,126,True,True,True,True,True,True,True,True,0.8665412882893483,20.673089973028084,0.03690865900011886
local|2|daklak|0|0,ok,2,daklak,0,0,64,4,4,0.22224886557559392,0.11990894208745104,0.16615281952196473,0.16503500660993198,0.8505489025771376,8.534210392881219,36.26125674082671,0.7478227538556883,0.7343468125602086,0.20085649424786353,0.2221230783572699,0.476771285930984,0.5,18.688775307152454,0.36542028363298845,0.40007308357289445,0.6748613856304715,0.549658853775054,0.5552062547511983,0.706472908485604,114,4,0,0,True,True,True,True,True,True,True,True,0.7343468125602086,71.91722809469465,0.011885639999945852
local|2|daklak|0|1,ok,2,daklak,0,1,64,4,4,0.22224886557559392,0.11990894208745104,0.16615281952196473,0.16503500660993198,0.8505489025771376,8.534210392881219,36.26125674082671,0.7478227538556883,0.7343468125602086,0.20085649424786353,0.2221230783572699,0.476771285930984,0.5,18.688775307152454,0.36542028363298845,0.40007308357289445,0.6748613856304715,0.549658853775054,0.5552062547511983,0.706472908485604,114,4,0,240,True,True,True,True,True,True,True,True,0.7343468125602086,71.91722809469465,0.07607630400002563
local|2|daklak|0|3,ok,2,daklak,0,3,64,4,4,0.22224886557559392,0.11990894208745104,0.16615281952196473,0.16503500660993198,0.8505489025771376,8.534210392881219,36.26125674082671,0.7478227538556883,0.7343468125602086,0.20085649424786353,0.2221230783572699,0.476771285930984,0.5,18.688775307152454,0.36542028363298845,0.40007308357289445,0.6748613856304715,0.549658853775054,0.5552062547511983,0.706472908485604,114,4,0,240,True,True,True,True,True,True,True,True,0.7343468125602086,71.91722809469465,0.08531428100013727
local|2|daklak|1|0,ok,2,daklak,1,0,58,3,3,0.11084329951889581,0.05904867981450768,0.06053194905442506,0.1751971014743045,0.843157895753522,5.483561763666999,37.320454709132584,0.2072072072072072,1.0155161918931095,0.10249179759603552,0.1356869013751456,0.22761311137816323,0.36363636363636365,13.768256718233788,0.13459261183330373,0.15864418127992777,0.3514146060006368,0.7614964610611327,0.8552907536881291,0.647705324398926,63,3,0,0,True,True,True,True,True,True,True,True,1.0155161918931095,20.46366548736304,0.007537216999935481
