radius_km,alpha,fold,period,status,n_train,n_val,macro_spearman,macro_nmae,intercept,beta__tourism_hotel,beta__market_local,beta__commercial_industrial_area,beta__mall_supermarket,beta__transport_hub,beta__parking
3.0,0.0,2,weekend_midday,ok,2007,522,0.042003993899434565,0.701358087967448,0.21614323501109658,0.0002699091834172015,4.178297302666754e-13,0.0006875563933233414,0.0028298505902773475,0.003887214262323118,0.0007795006471411459
3.0,0.0,2,weekend_evening,ok,2007,522,0.0824918515082118,0.6691698701989067,0.24515571894216284,5.596948725516728e-05,1.5577123535810926e-23,0.0020272516900735104,0.0009949264266391198,6.87923331784796e-19,0.0010583262383865762
3.0,0.0,3,weekday_morning,ok,2051,478,-0.01991820331723126,0.7524792907423169,0.16799627037213663,0.00011869549158916135,2.383391963469264e-13,0.003412703290275211,0.0037282911469292564,0.0005651115124052915,0.0009685014456212901
3.0,0.0,3,weekday_evening,ok,2051,478,-0.05376127170512634,0.705342491982185,0.21745459169524897,5.8219583419266266e-05,2.234219815421446e-17,0.003555166504611791,0.004522835416422438,8.051407258769734e-15,0.0006147804515962321
3.0,0.0,3,weekend_midday,ok,2051,478,-0.02775897572591339,0.7174092309531828,0.21335061117553625,0.0002905352094657044,3.8912319168388407e-17,0.003359029279616654,0.0057170243230633905,0.0024279300502499388,0.00045563169739180556
3.0,0.0,3,weekend_evening,ok,2051,478,-0.047920759442583914,0.7074836310074151,0.24223878304248897,9.492996451414466e-19,2.814498322833515e-26,0.003698597904570196,0.00537015493679182,1.0593190316071576e-24,0.0008901444582377178
3.0,0.0,4,weekday_morning,ok,2073,456,-0.0566317724635926,0.8331448758560449,0.1726222740681446,8.872727514611374e-05,1.1349209197549155e-14,0.002742811804523651,0.002431012969427463,0.0012930887021006235,0.0006598533316809365
3.0,0.0,4,weekday_evening,ok,2073,456,-0.0399389988294945,0.7703222610210356,0.22453182027777213,2.263636990285601e-06,1.2905096685763023e-28,0.0028881560618175405,0.002817362715507213,1.6822284883298686e-25,0.000419478087161575
3.0,0.0,4,weekend_midday,ok,2073,456,-0.05893582006018174,0.8380731116863012,0.22131177981329192,0.0002451842995682154,3.07195853439338e-22,0.0026072083646954494,0.004348864840971441,0.0012657892081611145,0.00012757679496936457
3.0,0.0,4,weekend_evening,ok,2073,456,-0.05202002411358388,0.7908531828566187,0.24929051905536725,5.255793545344808e-18,3.222708350601091e-23,0.003141720412190497,0.0036454847029362045,5.164871612746623e-23,0.0005137256577779378
3.0,0.0,5,weekday_morning,ok,1952,577,0.042194597565473925,0.8140124816895199,0.17337120450003568,0.00016473252384720084,2.1044494151622086e-15,0.0024799097301508,0.004413801877709818,1.7964171660693647e-24,0.0006616666434549995
3.0,0.0,5,weekday_evening,ok,1952,577,0.023803499730898226,0.7481681821307608,0.22154353225390605,3.067759790459869e-16,5.639913986324627e-22,0.0025636800298639278,0.004619504091157154,3.0887758902137943e-20,0.00048392000279399544
3.0,0.0,5,weekend_midday,ok,1952,577,-0.003749489556255138,0.7786870998736585,0.2193409686017205,0.00015698397821358877,1.0213211563746627e-13,0.002435103716212381,0.005529914570367911,0.0011939912873124737,0.0003642124439549965
